image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
gss1575_jpg.rf.07816bc589e662ec624bbff6abaf8a5e.jpg,1,0,0,1,0.0,0.0,0.0,0.0,15.743
gss1575_jpg.rf.2b1cba81d1cf18e1c8b96e6cf06fe101.jpg,1,0,0,1,0.0,0.0,0.0,0.0,15.656
gss1575_jpg.rf.990ffc5f06a60e162b923fe214fdafcb.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.247
gss1586_jpg.rf.c490849b302713ac71d30e6c10fc6d0a.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.267
gss1586_jpg.rf.e9b214aa8ed032e8c169cef2615637c5.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.555
gss1587_jpg.rf.44efe78ec15820fa1a037cf0498914f9.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.37
gss1587_jpg.rf.c33e85074c484d9f8681298c9a856fad.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.497
gss1591_jpg.rf.14b6ca5bbbf41601b95010bdabc77c33.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.617
gss1591_jpg.rf.402aeac2c0bdbb9659d6075fccee1a03.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.798
gss1591_jpg.rf.6cde0dff601ddddb041d206e5e2ef038.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.65
gss1591_jpg.rf.9dccfc4944d0f7c84ba51a9c60cfddbc.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.659
gss1593_jpg.rf.af52890ac9e0a8733c64e572a10eb872.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.046
gss1593_jpg.rf.f557f383a7125aeb0ebfd2e6ea301023.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.627
gss15_jpg.rf.98fc48a50fc5adef4ff582540cb9617f.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.312
gss15_jpg.rf.c96e696e55f4e3e80e5fd72f230271eb.jpg,2,2,2,0,0.5,1.0,0.666667,0.833333,16.559
gss15_jpg.rf.ef8ed3bb18d7b8fc14239070ff395af7.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.576
gss15_jpg.rf.eff221995ecfbdf55e961b175d0d9966.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.4
gss1615_jpg.rf.695275a21e8dad65ace4b0fffcbc3197.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.779
gss1615_jpg.rf.72c7f66bd38948f9b17548a0eda4661f.jpg,1,0,0,1,0.0,0.0,0.0,0.0,15.81
gss1626_jpg.rf.4216f7dbabb207113384dd396cc0f793.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.717
gss1626_jpg.rf.eb6764660fde81974bb48e15717a6933.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.742
gss1627_jpg.rf.1ea0f7aeb34df9ce4b0764dd8ef14968.jpg,2,1,0,1,1.0,0.5,0.666667,0.555556,16.933
gss1627_jpg.rf.773ffb2e2686bf92d641e0faecf398e6.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.604
gss1627_jpg.rf.c722f186e59ebf36f51f535f20bbdb10.jpg,0,0,0,0,0.0,0.0,0.0,0.0,16.52
gss1627_jpg.rf.d992f97b89901df446cede9a0ad2447b.jpg,2,1,0,1,1.0,0.5,0.666667,0.555556,16.31
gss1641_jpg.rf.5e685390131d9b250d509e9755434b98.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.918
gss1641_jpg.rf.87d3e2a463b8c59d159b8087917b024c.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.697
gss1650_jpg.rf.594c7514b728ac2a68feab6a8e1f85f1.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.577
gss1650_jpg.rf.a557c32d858e86d0ac22f35bc513c5c9.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.881
gss1661_jpg.rf.942a877efa46d04063bc734b3fc51e5c.jpg,6,4,1,2,0.8,0.666667,0.727273,0.689655,15.796
gss1661_jpg.rf.9bbd50e3c81dce3a904d1970a716ea85.jpg,2,2,0,0,1.0,1.0,1.0,1.0,15.981
gss1669_jpg.rf.38e137ed10110e6bc3f6fc50798b5d1c.jpg,2,2,0,0,1.0,1.0,1.0,1.0,15.938
gss1669_jpg.rf.41d096fe3c98a5cd919766cb0b338b0c.jpg,4,4,0,0,1.0,1.0,1.0,1.0,16.057
gss1669_jpg.rf.baa2cb9c454f15b62ac5c78cb0dc9770.jpg,2,1,4,1,0.2,0.5,0.285714,0.384615,16.088
gss1690_jpg.rf.521b647d5b8cb81a238373f002a5ae3a.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.746
gss1690_jpg.rf.88abe878c2d65407fb1eb9fa6bb6e583.jpg,5,5,0,0,1.0,1.0,1.0,1.0,16.457
gss1690_jpg.rf.b2caf4c88184fbda4be0ee5a91ef1419.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.656
gss1694_jpg.rf.10f900d516857ca5efdb06cf90e26dd8.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.998
gss1694_jpg.rf.1ea5f6653c1d9b74a13e75baf8839730.jpg,5,5,1,0,0.833333,1.0,0.909091,0.961538,16.685
gss1694_jpg.rf.395f62380e693b9408ade4f2ed08f38d.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.131
gss1694_jpg.rf.e849513c0d88151d444522f3afe43222.jpg,2,1,0,1,1.0,0.5,0.666667,0.555556,16.816
gss1694_jpg.rf.f8d2f455066de386d3aabe82dfd2ad72.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.765
gss1696_jpg.rf.35a0ec242ecf07c11c36eee855fb6925.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.791
