epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,7495.31,1.01834,0.61126,0.91545,0.88191,0.79761,0.84348,0.59301,0.82327,0.49896,0.89482,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,7607.66,1.02137,0.61305,0.91582,0.88177,0.79791,0.84366,0.59322,0.82287,0.49851,0.89474,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,7721.09,1.01545,0.61197,0.91638,0.88182,0.79837,0.8439,0.59345,0.82248,0.49822,0.89465,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,7833.36,1.02111,0.61589,0.91769,0.88159,0.79884,0.84389,0.59366,0.82207,0.49795,0.89451,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,7946.07,1.01184,0.61044,0.91622,0.8817,0.79935,0.84418,0.5939,0.82153,0.49788,0.89435,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,8060.21,1.01324,0.61164,0.91744,0.88178,0.7997,0.84441,0.59423,0.82104,0.4975,0.89429,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,8173.65,1.01334,0.61055,0.9151,0.882,0.79986,0.8446,0.59435,0.82073,0.49742,0.89426,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,8287.26,1.01099,0.60718,0.91486,0.8821,0.79934,0.84458,0.59463,0.82019,0.49703,0.89413,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,8400.9,1.01106,0.60781,0.91714,0.88184,0.79952,0.84468,0.59498,0.81947,0.49648,0.89402,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,8513.51,1.01243,0.60804,0.91608,0.88197,0.79953,0.84477,0.59514,0.81891,0.4962,0.89397,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,8625.78,1.00952,0.60808,0.91825,0.88197,0.79977,0.84508,0.59545,0.81833,0.49569,0.8938,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,8740.06,1.00878,0.60345,0.91406,0.88265,0.79956,0.84511,0.59568,0.81784,0.49532,0.89368,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,8852.59,1.00308,0.60181,0.91354,0.88294,0.7997,0.84523,0.5958,0.81722,0.49494,0.8935,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,8965.27,1.00314,0.6036,0.91242,0.88325,0.79958,0.84547,0.59602,0.81684,0.49468,0.8934,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,9077.26,1.00768,0.60437,0.91482,0.88407,0.79929,0.8456,0.59639,0.81599,0.49428,0.89324,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,9189.63,1.00698,0.60007,0.91414,0.88419,0.79935,0.84577,0.5965,0.81552,0.49401,0.89317,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,9302.4,1.00674,0.60277,0.9154,0.88424,0.79934,0.84584,0.597,0.8151,0.49385,0.893,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,9415.61,0.99774,0.59976,0.91446,0.88401,0.80005,0.84613,0.59731,0.81464,0.49364,0.89286,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,9528.4,1.00136,0.60046,0.91273,0.88394,0.80031,0.84601,0.59757,0.81397,0.49335,0.89275,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,9641.61,0.99782,0.5994,0.91192,0.88347,0.8007,0.84622,0.59781,0.81356,0.49317,0.89276,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,9754.26,1.00539,0.59982,0.91126,0.88386,0.80059,0.84642,0.59809,0.81308,0.49297,0.89269,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,9866.79,0.99755,0.59893,0.91465,0.884,0.80052,0.84656,0.59838,0.81261,0.4928,0.89267,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,9980.63,1.00373,0.60023,0.91535,0.88454,0.80023,0.84661,0.59869,0.81195,0.49207,0.89246,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,10094.9,0.99808,0.59851,0.91333,0.88489,0.80055,0.84679,0.59898,0.81158,0.49212,0.89231,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,10208.5,0.98973,0.59269,0.91072,0.88393,0.80132,0.84666,0.59929,0.81126,0.49163,0.89233,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,10321.8,0.99653,0.59505,0.91087,0.88396,0.80192,0.84703,0.59959,0.8107,0.49132,0.89224,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,10436.7,0.99025,0.59458,0.91234,0.88424,0.80167,0.84707,0.59966,0.81033,0.4909,0.89219,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
93,10548.7,0.99555,0.59308,0.90941,0.88392,0.80256,0.84721,0.59999,0.80985,0.49053,0.89208,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
94,10660.9,0.99451,0.59431,0.91038,0.88428,0.80284,0.84739,0.60035,0.80895,0.49016,0.89184,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
95,10773.2,0.99361,0.59386,0.90924,0.88397,0.80347,0.84768,0.60064,0.80838,0.48967,0.89164,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
96,10884.4,0.98465,0.59074,0.91154,0.88352,0.80367,0.8477,0.60077,0.80788,0.48917,0.8915,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
97,10996.8,0.98876,0.58976,0.9109,0.88311,0.80425,0.84789,0.60125,0.80725,0.48881,0.89133,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
98,11109.6,0.99123,0.59214,0.90922,0.88331,0.80458,0.84791,0.60125,0.80654,0.48832,0.89115,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843
99,11221.8,0.98872,0.59123,0.91093,0.88329,0.80476,0.84801,0.60158,0.80595,0.48786,0.89107,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
100,11334.6,0.987,0.58954,0.90823,0.88288,0.80493,0.84796,0.60204,0.80542,0.48732,0.89092,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
101,11447.7,0.98429,0.58711,0.9104,0.88365,0.80451,0.84814,0.60227,0.80481,0.487,0.89076,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,11560.5,0.98825,0.58864,0.90652,0.88347,0.80497,0.84828,0.60272,0.8041,0.48665,0.89061,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997
103,11672.7,0.98101,0.58532,0.90699,0.88381,0.8048,0.84847,0.60302,0.80346,0.48619,0.89053,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
104,11788.2,0.98262,0.58485,0.90685,0.88371,0.80532,0.8486,0.60332,0.80265,0.48572,0.89031,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913
105,11901.4,0.98123,0.58733,0.90788,0.88346,0.80551,0.84867,0.60356,0.80193,0.48536,0.89015,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
106,12015.3,0.97737,0.58534,0.90636,0.88358,0.80546,0.84884,0.60397,0.8013,0.48498,0.88997,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
107,12128.8,0.97676,0.58404,0.90731,0.88351,0.80551,0.84878,0.60426,0.80037,0.48453,0.88972,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
108,12241.9,0.98173,0.58345,0.90561,0.88375,0.80572,0.84894,0.60457,0.79951,0.48398,0.88958,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439
109,12354.6,0.97327,0.58202,0.90573,0.8839,0.80543,0.8489,0.6049,0.79893,0.48373,0.8894,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
110,12466.9,0.97926,0.58428,0.90596,0.88394,0.80542,0.84901,0.60522,0.79838,0.48322,0.88928,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059
111,12581.1,0.97228,0.58196,0.90618,0.88395,0.8059,0.84926,0.60554,0.79767,0.48293,0.88911,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
112,12693.8,0.97901,0.58406,0.90376,0.88365,0.80657,0.84933,0.60585,0.79702,0.48234,0.88899,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
113,12806.4,0.96901,0.57726,0.90441,0.88414,0.8065,0.8496,0.60622,0.79645,0.48188,0.88877,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
114,12919.7,0.97587,0.58328,0.90792,0.88391,0.80679,0.84977,0.60652,0.79592,0.48139,0.88864,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031
115,13032.3,0.97243,0.57879,0.90384,0.88417,0.80683,0.84981,0.60675,0.79525,0.48097,0.88843,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
116,13144.7,0.97477,0.57883,0.90412,0.88453,0.80722,0.85004,0.60704,0.7948,0.48061,0.88827,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
117,13257.5,0.96528,0.57509,0.90266,0.88479,0.80729,0.85021,0.6072,0.7942,0.48025,0.88812,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
118,13370,0.96736,0.57306,0.90301,0.88556,0.80719,0.85027,0.60766,0.7935,0.47973,0.88788,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
119,13481.6,0.96768,0.57952,0.90365,0.88653,0.80683,0.85068,0.60805,0.79289,0.47938,0.88777,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
120,13596.7,0.96431,0.57232,0.90204,0.88698,0.80705,0.85089,0.60837,0.79213,0.47891,0.88755,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885
121,13711.6,0.96643,0.57137,0.9004,0.8863,0.80737,0.85095,0.60864,0.79156,0.47863,0.88739,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
122,13824.8,0.96619,0.57401,0.90187,0.88766,0.80676,0.85098,0.60914,0.79078,0.47817,0.88718,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025
123,13938.6,0.96075,0.571,0.9006,0.88795,0.80637,0.85108,0.60943,0.79015,0.47782,0.88711,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
124,14051.9,0.95876,0.56922,0.89996,0.88755,0.807,0.8512,0.60964,0.78949,0.47752,0.88692,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
125,14164.5,0.95934,0.56912,0.90268,0.8875,0.80747,0.85131,0.61003,0.78858,0.47701,0.88668,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
126,14277.3,0.96624,0.57028,0.89992,0.88664,0.80833,0.85144,0.61016,0.78796,0.47644,0.8866,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
127,14389.4,0.96308,0.56841,0.90074,0.8865,0.80856,0.85148,0.61044,0.7871,0.47603,0.88641,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
