epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
235,112.42,54.519,8645.3,0.89933,0.82125,0.86418,0.63758,0.0
236,112.248,54.602,8510.4,0.8998,0.82154,0.86423,0.63775,0.0
237,112.926,54.274,8503.4,0.89973,0.82128,0.86416,0.63798,0.0
238,114.318,53.614,8496.9,0.90034,0.82111,0.86436,0.638,0.0
239,112.424,54.517,8656.7,0.90046,0.82142,0.86448,0.63842,0.0
240,112.807,54.332,8544.1,0.9003,0.82193,0.8646,0.63848,0.0
241,112.658,54.404,8596.4,0.90026,0.82172,0.86444,0.63857,0.0
242,113.466,54.016,8718.9,0.9005,0.82217,0.86448,0.63885,0.0
243,113.311,54.09,8558.8,0.90029,0.82246,0.86458,0.63908,0.0
244,112.615,54.424,8624.0,0.90019,0.82237,0.86451,0.63933,0.0
245,112.016,54.715,8556.0,0.90072,0.82243,0.86462,0.63961,0.0
246,114.213,53.663,8553.3,0.90082,0.82277,0.86469,0.63985,0.0
247,112.431,54.514,8729.1,0.90062,0.82304,0.86461,0.63989,0.0
248,112.104,54.672,8719.3,0.90008,0.82372,0.86476,0.63997,0.0
249,111.928,54.758,8529.4,0.89989,0.82365,0.86476,0.64014,0.0
250,112.595,54.434,8612.8,0.89997,0.82379,0.8647,0.64016,0.0
251,112.547,54.457,8663.8,0.89971,0.82422,0.86482,0.64037,0.0
252,115.181,53.212,8645.8,0.90014,0.82393,0.86493,0.64046,0.0
253,112.465,54.497,8591.3,0.89999,0.82389,0.86478,0.6405,0.0
254,112.56,54.451,8452.8,0.8999,0.82412,0.8648,0.64057,0.0
255,112.627,54.419,8559.1,0.89978,0.82435,0.86484,0.64069,0.0
256,112.88,54.296,8622.7,0.90006,0.82417,0.86479,0.64071,0.0
257,112.927,54.274,8536.3,0.90074,0.82366,0.86479,0.6408,0.0
258,113.176,54.154,8626.9,0.90111,0.82348,0.86456,0.6408,0.0
259,113.253,54.118,8531.4,0.90128,0.82357,0.86466,0.64082,0.0
260,113.268,54.111,8607.7,0.90156,0.82357,0.8646,0.64082,0.0
261,112.439,54.509,8512.3,0.90195,0.82337,0.86452,0.6408,0.0
262,112.592,54.436,8547.1,0.90179,0.82356,0.86441,0.64079,0.0
263,113.748,53.882,8493.2,0.90184,0.82336,0.8643,0.64072,0.0
264,113.559,53.972,8487.6,0.90185,0.82376,0.86438,0.64067,0.0
265,112.616,54.424,8574.2,0.90166,0.82412,0.86434,0.6408,0.0
266,112.703,54.382,8587.9,0.90161,0.8244,0.8645,0.64087,0.0
267,111.823,54.81,8536.6,0.90149,0.82463,0.86443,0.64091,0.0
268,112.725,54.371,8362.2,0.90098,0.82502,0.86233,0.6408,0.0
269,113.88,53.82,8768.6,0.90115,0.82492,0.86228,0.64078,0.0
270,112.401,54.528,8573.0,0.90105,0.82505,0.86223,0.64085,0.0
271,111.896,54.774,8526.0,0.90146,0.82526,0.8623,0.6409,0.0
272,112.434,54.512,8928.9,0.90116,0.82506,0.86219,0.64102,0.0
273,112.226,54.613,8576.1,0.90094,0.82552,0.86221,0.6406,0.0
274,113.351,54.071,8520.1,0.90138,0.82547,0.86228,0.64064,0.0
275,113.656,53.926,8684.1,0.90183,0.82516,0.86219,0.64089,0.0
276,112.629,54.417,9229.1,0.90115,0.82554,0.8622,0.64071,0.0
277,112.4,54.528,8587.9,0.90134,0.82547,0.86217,0.6406,0.0
278,113.132,54.176,8568.2,0.90123,0.82556,0.862,0.64054,0.0
279,113.793,53.861,8504.1,0.90164,0.82535,0.86208,0.6407,0.0
280,112.836,54.318,8770.2,0.90136,0.82542,0.86193,0.64061,0.0
281,112.052,54.698,8533.6,0.90137,0.82558,0.86209,0.64069,0.0
282,112.841,54.315,8554.7,0.90147,0.82533,0.86199,0.6403,0.0
283,114.555,53.503,8512.8,0.90116,0.82558,0.86193,0.64042,0.0
284,112.223,54.615,8567.6,0.90158,0.82536,0.86193,0.6403,0.0
285,114.611,53.477,8454.6,0.90207,0.82522,0.86182,0.64025,0.0
286,112.492,54.484,8612.6,0.90194,0.82544,0.86176,0.6403,0.0
287,111.994,54.726,8478.7,0.90253,0.82494,0.86176,0.64031,0.0
288,112.432,54.513,8730.4,0.90206,0.82526,0.86165,0.64022,0.0
289,111.847,54.798,8617.0,0.90265,0.82481,0.86163,0.64025,0.0
290,152.774,40.118,8445.1,0.9023,0.82508,0.86151,0.64014,0.0
291,111.07,55.181,8367.0,0.90207,0.82517,0.86145,0.63998,0.0
292,109.684,55.879,8442.2,0.90191,0.82533,0.8613,0.63983,0.0
293,110.561,55.435,8358.9,0.90212,0.82503,0.86115,0.63972,0.0
294,111.389,55.023,8330.0,0.90178,0.82491,0.86104,0.63956,0.0
295,112.953,54.262,8371.4,0.90218,0.8247,0.861,0.63945,0.0
296,111.335,55.05,8366.9,0.90183,0.82472,0.86082,0.6393,0.0
297,112.071,54.689,8430.6,0.902,0.82473,0.86075,0.63922,0.0
298,111.373,55.031,8418.6,0.9017,0.82456,0.86055,0.63907,0.0
299,111.7,54.87,8350.3,0.90178,0.82435,0.86036,0.63894,0.0
300,123.478,49.636,8350.3,0.9013977425251372,0.8250766052438195,0.8622337120254989,0.6410833294489331,0.0
