ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780189374.4788878,55,33,9702.16015625,189.792,65
1780189376.492619,49,23,9702.16015625,191.351,68
1780189378.50633,72,52,9702.16015625,188.863,64
1780189380.5211973,54,31,9702.16015625,183.749,65
1780189382.5356941,89,70,9702.16015625,182.758,66
1780189384.5370204,64,42,9702.16015625,186.19,69
1780189386.5520241,86,67,9702.16015625,191.668,69
1780189388.5608246,96,79,9702.16015625,193.282,68
1780189390.573518,92,73,9702.16015625,191.351,67
1780189392.5842228,91,75,9702.16015625,192.236,68
1780189394.5974908,43,18,9702.16015625,181.678,65
1780189396.6066399,78,63,9702.16015625,187.758,69
1780189398.6160417,81,69,9702.16015625,181.976,66
1780189400.6303596,93,71,9702.16015625,175.166,66
1780189402.6440387,92,73,9702.16015625,178.457,69
1780189404.6658638,32,10,9702.16015625,179.407,65
1780189406.6722717,34,14,9702.16015625,180.196,64
1780189408.6833606,97,80,9702.16015625,190.821,69
1780189410.6953254,69,48,9702.16015625,184.425,64
1780189412.7070167,55,31,9702.16015625,179.713,66
1780189414.7161584,91,73,9702.16015625,188.497,69
1780189416.7305884,95,77,9702.16015625,177.42,68
1780189418.7373354,79,60,9702.16015625,178.322,69
1780189420.7448058,38,16,9702.16015625,178.704,64
1780189422.7460608,61,47,9702.16015625,173.166,63
1780189424.7607298,73,50,9702.16015625,179.778,69
1780189426.7724261,94,76,9702.16015625,191.704,68
1780189428.783433,78,61,9702.16015625,186.568,64
1780189430.7934453,94,76,9702.16015625,181.265,68
1780189432.8067784,28,9,9702.16015625,178.267,65
1780189434.8224432,27,3,9702.16015625,179.615,65
1780189436.8562791,63,45,9702.16015625,182.047,64
1780189438.858467,69,52,5044.16015625,175.007,64
1780189440.8721635,63,50,5044.16015625,192.156,64
1780189442.8782034,100,87,5044.16015625,193.778,68
1780189444.8801823,96,80,5044.16015625,201.672,70
1780189446.8948247,60,41,5940.16015625,198.999,69
1780189448.8966508,89,73,8814.16015625,134.287,67
1780189450.9101813,92,73,9230.16015625,182.858,70
1780189452.9229505,92,79,9230.16015625,187.244,67
1780189454.9342835,36,15,9230.16015625,180.963,64
1780189456.9449909,83,64,9230.16015625,186.52,69
1780189458.9585652,67,47,9230.16015625,179.502,68
1780189460.9739602,53,40,9230.16015625,179.858,63
1780189462.98753,93,73,9230.16015625,182.687,67
1780189465.001614,93,72,9230.16015625,175.995,67
1780189467.0155866,73,54,9230.16015625,187.893,65
1780189469.0290916,39,20,9230.16015625,180.501,65
1780189471.0419905,94,75,9230.16015625,189.843,68
1780189473.0568762,29,10,9230.16015625,178.425,64
1780189475.0688348,46,31,9230.16015625,175.189,64
1780189477.0821064,88,73,9230.16015625,179.488,68
1780189479.094095,84,67,9230.16015625,172.923,67
1780189481.106897,68,45,9230.16015625,179.451,68
1780189483.120607,89,71,9698.16015625,191.4,68
1780189485.1284769,87,71,9698.16015625,189.306,68
1780189487.1430287,70,49,9698.16015625,187.869,68
1780189489.156701,60,35,9698.16015625,185.034,66
1780189491.1661844,48,23,9698.16015625,179.596,68
1780189493.1772804,74,52,9698.16015625,186.591,64
1780189495.1774008,87,67,9698.16015625,189.692,65
1780189497.1778617,90,71,9698.16015625,192.117,65
1780189499.19223,89,73,9698.16015625,189.979,69
1780189501.2048004,71,50,9698.16015625,187.576,69
1780189503.2139654,47,23,9698.16015625,181.83,68
1780189505.2262852,64,41,9698.16015625,189.151,67
1780189507.2384176,77,56,9698.16015625,189.193,64
1780189509.25078,88,68,9698.16015625,189.498,65
1780189511.263702,88,71,9698.16015625,192.158,65
1780189513.2637053,90,71,9698.16015625,190.546,68
1780189515.276775,67,45,9698.16015625,187.369,68
1780189517.292054,77,58,9698.16015625,182.114,64
1780189519.302317,66,45,9698.16015625,178.679,64
1780189521.3140879,25,3,9698.16015625,178.954,68
1780189523.328495,89,72,9698.16015625,183.052,69
1780189525.342294,62,39,9698.16015625,187.182,67
1780189527.3442442,69,47,9698.16015625,182.548,64
1780189529.3564951,94,72,9698.16015625,187.608,68
1780189531.3709898,76,58,9698.16015625,188.864,69
1780189533.385327,92,75,9698.16015625,180.022,65
1780189535.398885,88,68,9698.16015625,178.351,64
1780189537.4134812,67,45,9698.16015625,178.58,66
1780189539.427188,25,4,9698.16015625,179.522,67
1780189541.4396136,71,49,9698.16015625,185.37,65
1780189543.4528735,92,70,9698.16015625,185.166,68
1780189545.46277,38,16,9698.16015625,180.598,68
1780189547.4753914,84,68,9698.16015625,171.207,68
1780189549.4924328,91,74,2656.16015625,181.08,64
1780189551.501574,55,34,5038.16015625,163.044,67
1780189553.5049393,61,48,5038.16015625,185.501,68
1780189555.520905,84,72,5038.16015625,197.031,66
1780189557.5228846,87,65,5038.16015625,201.913,68
1780189559.533945,46,29,5934.16015625,196.162,68
1780189561.5340362,34,13,9204.16015625,122.117,67
1780189563.5441158,72,57,9204.16015625,174.861,69
1780189565.5566673,94,72,9204.16015625,181.781,68
1780189567.5694075,92,75,9204.16015625,170.578,68
1780189569.5790365,50,28,9204.16015625,181.976,67
1780189571.5904286,87,69,9204.16015625,187.609,64
1780189573.6032631,26,3,9204.16015625,178.305,67
1780189575.615405,74,60,9204.16015625,169.767,68
1780189577.629038,77,57,9204.16015625,179.845,64
1780189579.6420708,75,57,9204.16015625,181.095,68
1780189581.6441336,93,75,9204.16015625,184.057,65
1780189583.6579685,52,29,9204.16015625,182.869,66
1780189585.6703825,88,71,9204.16015625,179.915,68
1780189587.6815238,37,19,9204.16015625,181.262,67
1780189589.6958268,59,39,9204.16015625,181.442,63
1780189591.707946,41,29,9204.16015625,182.359,66
1780189593.7202852,52,33,9204.16015625,168.72,65
1780189595.731539,89,73,9204.16015625,172.283,69
1780189597.7447526,97,80,9204.16015625,178.638,65
1780189599.756488,85,70,9204.16015625,182.731,69
1780189601.767722,30,5,9204.16015625,179.823,68
1780189603.783207,71,49,9204.16015625,187.253,66
1780189605.7890298,77,55,9204.16015625,189.778,64
1780189607.8027894,90,71,9204.16015625,191.444,65
1780189609.8150477,93,73,9204.16015625,193.082,66
1780189611.826304,92,71,9204.16015625,193.202,66
1780189613.8378553,90,70,9204.16015625,192.413,69
1780189615.839083,89,73,9204.16015625,192.234,69
1780189617.851779,85,70,9204.16015625,191.42,69
1780189619.8522441,65,45,9204.16015625,192.178,67
1780189621.864583,53,30,9204.16015625,191.663,66
1780189623.865188,40,13,9204.16015625,191.696,68
1780189625.8778703,55,32,9204.16015625,191.202,68
1780189627.889708,72,49,9204.16015625,188.967,65
1780189629.9014528,81,63,9204.16015625,187.421,64
1780189631.9158084,92,72,9204.16015625,184.131,65
