epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
251,132.865,46.175,7882.2,0.89147,0.81777,0.86139,0.63677,23231.7938747681
252,132.702,46.231,8127.6,0.8911,0.81791,0.86138,0.63678,0.0
253,132.3,46.372,7840.9,0.89094,0.81787,0.86136,0.63657,10765.507409774027
254,132.828,46.188,8195.5,0.89104,0.81768,0.86133,0.63659,0.0
255,132.452,46.319,7852.5,0.89079,0.81787,0.8612,0.63664,36304.87206983684
256,133.628,45.911,8165.7,0.89031,0.81818,0.86111,0.63658,0.0
257,133.53,45.945,7865.6,0.8903,0.81825,0.86114,0.63661,23669.06178916411
258,133.735,45.874,7928.3,0.89051,0.81804,0.86111,0.63649,0.0
259,133.403,45.989,7836.6,0.89015,0.81835,0.86102,0.63644,44091.72586857897
260,133.544,45.94,7979.8,0.88999,0.81843,0.85959,0.63606,0.0
261,133.138,46.08,7753.5,0.89026,0.81814,0.86093,0.63612,45880.5354629588
262,147.998,41.453,7753.5,0.8908000126596636,0.8177410746403102,0.8657083579036613,0.6334900064030198,45880.5354629588
