ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1783477423.7453742,73,61,7206.16015625,178.976,70
1783477425.7486446,89,65,11012.16015625,175.24,65
1783477427.8171628,4,1,11072.16015625,62.906,61
1783477429.8265157,85,64,7536.16015625,51.645,61
1783477431.8439298,96,78,8014.16015625,190.198,67
1783477433.8580246,79,62,8496.16015625,187.217,65
1783477435.8610525,47,34,8982.16015625,183.53,67
1783477437.8631241,42,33,8982.16015625,176.786,65
1783477439.9040499,61,48,8982.16015625,160.629,67
1783477441.9144933,41,28,8982.16015625,169.874,69
1783477443.9174864,57,45,8982.16015625,187.883,68
1783477445.9211984,79,66,9916.16015625,189.983,69
1783477447.9370549,81,65,9916.16015625,180.992,69
1783477449.9398873,74,64,9916.16015625,186.32,69
1783477452.2277312,22,21,11450.16015625,147.966,63
1783477454.5283618,55,41,11450.16015625,81.044,65
1783477456.5287044,62,51,11450.16015625,170.977,67
1783477458.5433483,44,33,12542.16015625,180.118,67
1783477460.5566154,58,45,12542.16015625,188.262,68
1783477462.5802345,89,70,12544.16015625,188.915,68
1783477464.5951035,80,64,12544.16015625,187.498,65
1783477466.5993516,72,54,12544.16015625,187.744,68
1783477468.6045666,77,66,12544.16015625,163.718,69
1783477470.6207485,29,23,12544.16015625,163.197,65
1783477472.6320312,66,50,12544.16015625,185.12,68
1783477474.6490993,46,35,12544.16015625,178.09,66
1783477476.6498814,80,63,12544.16015625,185.086,69
1783477478.6704566,97,77,12544.16015625,186.696,67
1783477480.690168,79,61,12544.16015625,191.884,65
1783477482.71127,32,25,12544.16015625,182.983,64
1783477484.7260973,56,44,12544.16015625,159.068,68
1783477486.7404883,67,58,12544.16015625,178.036,70
1783477488.740958,89,72,12544.16015625,188.746,69
1783477490.7496502,78,61,12544.16015625,189.43,65
1783477492.7659745,50,38,12544.16015625,183.278,68
1783477494.78656,23,18,12544.16015625,172.426,65
1783477497.3637276,0,0,12544.16015625,79.166,61
1783477499.3890128,5,4,12544.16015625,71.981,60
1783477501.4090972,61,48,12544.16015625,148.861,64
1783477503.4093275,17,15,12544.16015625,150.316,67
1783477505.4279318,76,61,12544.16015625,177.192,69
1783477507.4408658,80,66,12544.16015625,180.872,69
1783477509.4409797,32,22,12544.16015625,152.704,66
1783477511.454543,83,67,12544.16015625,182.195,64
1783477513.4677289,49,37,12544.16015625,186.221,66
1783477515.4750166,4,1,12544.16015625,165.818,66
1783477517.5038178,73,62,12544.16015625,164.635,68
1783477519.520581,66,55,12544.16015625,175.463,69
1783477521.535478,91,75,12544.16015625,188.288,68
1783477523.5378015,74,62,12544.16015625,185.912,68
1783477525.5521617,52,39,12544.16015625,187.318,69
1783477527.5795617,3,0,12544.16015625,169.867,63
1783477529.88837,28,28,12544.16015625,57.478,60
1783477532.1720808,29,27,12544.16015625,49.674,59
1783477534.1751254,29,23,12544.16015625,166.507,64
1783477536.1905072,75,63,12544.16015625,176.387,68
1783477538.207083,95,76,12544.16015625,185.84,65
1783477540.222866,85,70,12544.16015625,190.383,64
1783477542.2377307,61,47,12544.16015625,186.418,67
1783477544.2406743,45,34,12544.16015625,183.601,66
1783477546.2559173,79,64,12544.16015625,184.667,69
1783477548.2599547,44,35,12544.16015625,159.213,65
1783477550.3283558,42,34,12544.16015625,183.301,68
1783477552.3423805,78,61,12544.16015625,190.264,64
1783477554.3572917,86,70,12544.16015625,184.568,68
1783477556.3717384,79,66,12544.16015625,184.502,69
1783477558.386818,48,37,12544.16015625,189.716,67
1783477560.3889463,76,60,12544.16015625,180.129,69
1783477562.3900962,52,41,12544.16015625,169.779,67
1783477564.4059854,75,58,12544.16015625,168.25,67
1783477566.4242845,65,55,12544.16015625,185.542,69
1783477568.4252875,76,61,12544.16015625,185.942,70
1783477570.4399085,60,46,12544.16015625,186.734,69
1783477572.4437165,81,65,12544.16015625,187.886,66
1783477574.4835875,70,62,12544.16015625,173.248,68
1783477576.4923525,34,27,12544.16015625,174.319,66
1783477578.507605,64,55,12544.16015625,181.823,69
1783477580.5193179,82,66,12544.16015625,178.066,68
1783477582.5339637,71,59,12544.16015625,176.798,67
1783477584.550634,90,71,12544.16015625,185.758,68
1783477586.551516,78,61,12544.16015625,185.883,67
1783477588.5528374,75,65,12544.16015625,180.229,69
1783477590.5682752,76,63,12544.16015625,174.393,68
1783477592.5838528,94,78,12544.16015625,186.686,70
1783477594.5860941,45,31,3088.16015625,122.857,64
1783477596.600801,77,57,4546.16015625,156.285,69
1783477598.6023586,90,72,5884.16015625,173.314,69
1783477600.614978,0,0,5884.16015625,100.311,63
1783477602.6259534,81,71,6416.16015625,162.588,68
1783477604.6297162,84,76,7140.16015625,146.412,67
1783477606.631837,58,49,7140.16015625,171.908,64
1783477608.642356,53,41,7140.16015625,184.827,65
1783477610.656304,50,41,7140.16015625,178.078,68
1783477612.6576655,65,57,7140.16015625,179.722,69
1783477614.6976895,35,28,10946.16015625,167.07,66
1783477616.7153783,0,0,10988.16015625,62.418,60
1783477618.732402,0,0,9646.16015625,32.461,58
1783477621.1183276,21,15,8346.16015625,96.509,60
1783477623.2801385,44,37,8808.16015625,136.629,64
1783477625.5014954,43,36,9380.16015625,135.113,63
1783477627.5089858,30,27,9380.16015625,112.683,63
1783477629.563241,61,50,9380.16015625,155.402,65
1783477631.580864,61,49,10128.16015625,162.818,65
1783477633.58505,95,77,10128.16015625,178.771,67
1783477635.5903094,80,65,10128.16015625,180.092,67
1783477637.5984137,91,73,10128.16015625,184.079,67
1783477639.6063318,76,66,10128.16015625,187.904,69
1783477641.633361,78,61,10128.16015625,185.069,67
1783477643.643737,43,33,10128.16015625,150.078,66
1783477645.6503303,79,63,10128.16015625,172.817,66
1783477647.6561906,98,77,10128.16015625,185.796,69
1783477649.6679604,77,60,10128.16015625,185.111,65
1783477651.6715963,40,30,10128.16015625,188.404,69
1783477653.6977408,82,69,10128.16015625,190.044,66
1783477656.3108575,25,17,10128.16015625,76.408,60
1783477658.627323,39,41,10128.16015625,48.676,59
1783477660.6475148,17,15,10128.16015625,117.319,62
1783477662.6591682,41,32,10128.16015625,110.75,63
1783477664.6660028,84,68,10980.16015625,160.853,66
1783477666.6675367,89,70,10980.16015625,187.37,67
1783477668.691675,36,29,10980.16015625,123.019,63
1783477670.7074008,78,62,10980.16015625,183.421,65
1783477672.7131429,78,64,10980.16015625,177.928,68
1783477674.8298416,55,47,10980.16015625,151.753,66
1783477676.8467197,39,34,10980.16015625,152.202,63
1783477678.8475502,56,48,10980.16015625,176.621,64
1783477680.8512614,54,43,10980.16015625,174.455,64
1783477682.8668113,68,58,10980.16015625,180.441,67
1783477684.876067,78,68,10980.16015625,187.929,66
1783477686.9291258,72,58,10980.16015625,170.055,66
1783477688.9467301,63,52,10980.16015625,156.798,64
1783477690.9485958,71,59,10980.16015625,182.155,68
1783477692.9514694,81,67,10980.16015625,179.992,69
1783477694.9542923,66,56,10980.16015625,176.221,68
1783477696.9816124,85,69,10980.16015625,181.047,67
1783477698.9889123,84,67,10980.16015625,188.106,65
1783477700.9920788,52,46,10980.16015625,174.06,69
1783477703.0237308,82,63,10980.16015625,161.45,66
1783477705.0263796,77,60,10980.16015625,174.156,64
1783477707.0477343,94,79,10980.16015625,177.194,65
1783477709.0513158,78,63,10980.16015625,178.297,68
1783477711.067493,76,60,10980.16015625,187.067,66
1783477713.073212,47,36,10980.16015625,189.206,65
1783477715.1029522,52,39,10980.16015625,178.421,68
1783477717.150861,42,28,10980.16015625,166.441,68
1783477719.155563,46,32,10980.16015625,185.134,67
1783477721.158887,75,62,10980.16015625,184.049,68
1783477723.1601596,89,73,10980.16015625,188.462,69
1783477725.1611419,72,54,10980.16015625,190.049,68
1783477727.168082,62,51,10980.16015625,186.978,68
1783477729.18293,8,4,10980.16015625,162.848,66
1783477731.1877325,76,62,10980.16015625,166.16,68
1783477733.2032123,81,65,10980.16015625,186.462,67
1783477735.204343,81,65,10980.16015625,190.946,65
1783477737.21958,37,28,10980.16015625,186.055,66
1783477739.225536,87,72,10980.16015625,191.448,69
1783477741.2314386,80,67,10980.16015625,182.376,67
1783477743.3112488,79,62,10980.16015625,159.206,65
1783477745.324589,73,62,10980.16015625,172.889,68
1783477747.3436503,78,63,10980.16015625,177.788,69
1783477749.346555,48,37,10980.16015625,168.699,67
1783477751.3491752,72,57,10980.16015625,183.412,69
1783477753.367726,49,37,10980.16015625,188.082,67
1783477755.4214215,60,49,10980.16015625,165.26,68
1783477757.4259405,73,57,10980.16015625,150.382,65
1783477759.4269855,75,57,10980.16015625,187.143,66
1783477761.4446735,32,24,10980.16015625,188.481,69
1783477763.508145,79,62,12234.16015625,185.155,65
1783477765.5114934,48,37,12234.16015625,186.22,68
1783477767.5162003,78,62,12234.16015625,187.223,70
1783477769.5227056,51,44,12234.16015625,172.803,68
1783477771.5693781,82,75,12234.16015625,178.891,67
1783477773.587313,78,66,12234.16015625,186.323,68
1783477775.5939014,46,35,12234.16015625,185.104,68
1783477777.6067796,65,53,12234.16015625,182.283,70
1783477779.6102254,93,77,12234.16015625,189.247,70
1783477781.629767,70,56,12234.16015625,187.721,67
1783477783.6394,62,53,12234.16015625,171.593,69
1783477785.6584675,65,55,12234.16015625,176.838,69
1783477787.672732,98,78,12234.16015625,190.874,67
1783477789.689415,46,29,3274.16015625,127.805,67
1783477791.7339637,60,45,4732.16015625,156.282,69
1783477793.7407877,83,66,6070.16015625,170.5,65
1783477795.7542324,22,15,6602.16015625,154.557,70
1783477797.758202,27,21,7326.16015625,143.378,69
1783477799.7739046,53,42,7326.16015625,182.495,67
1783477801.7780824,57,47,7326.16015625,181.489,68
1783477803.7918243,28,21,7326.16015625,176.861,70
1783477805.8134837,68,60,7326.16015625,179.85,67
1783477807.8172765,89,80,11132.16015625,177.726,65
1783477809.8286364,0,0,11192.16015625,64.088,61
1783477811.8394701,52,40,8052.16015625,63.74,65
1783477813.8588276,79,62,8052.16015625,183.688,66
1783477815.8687296,45,34,8052.16015625,184.529,67
1783477817.8828726,60,49,8052.16015625,183.191,68
1783477819.8876925,94,79,8052.16015625,187.49,69
1783477821.8999872,87,70,8052.16015625,177.369,65
1783477823.918412,24,16,8052.16015625,164.255,66
1783477825.9329267,48,37,8052.16015625,181.666,67
1783477827.9405491,61,52,9480.16015625,185.252,68
1783477829.9493787,83,68,9480.16015625,190.378,68
1783477831.959758,51,39,9480.16015625,189.324,65
1783477834.157329,19,16,9480.16015625,140.887,65
1783477836.1752717,43,28,9480.16015625,78.671,61
1783477838.4754763,23,16,9480.16015625,70.395,61
1783477840.7791371,41,41,9480.16015625,59.95,60
1783477843.0606365,0,0,9480.16015625,68.238,59
1783477845.3342214,69,67,9480.16015625,57.316,59
1783477847.3457713,19,14,9480.16015625,110.003,62
1783477849.4045215,18,14,9480.16015625,114.686,60
1783477851.4200628,90,73,9480.16015625,131.152,65
1783477853.4336329,37,26,9480.16015625,117.448,61
1783477855.445146,97,79,9480.16015625,171.578,66
1783477857.4566686,77,61,9480.16015625,169.052,63
1783477859.5221393,30,26,9480.16015625,160.879,63
1783477861.5351033,8,5,9480.16015625,161.453,62
1783477863.5512626,59,46,9480.16015625,181.543,68
1783477865.560654,28,19,9480.16015625,182.9,63
1783477867.5845144,86,71,9480.16015625,173.887,67
1783477869.5907426,84,69,9480.16015625,184.107,68
1783477871.5973709,79,62,9480.16015625,186.937,66
1783477873.598749,76,61,9480.16015625,177.991,66
1783477875.6050844,63,52,9480.16015625,172.88,65
1783477877.6086116,56,43,9480.16015625,185.372,69
1783477879.6103587,78,60,9480.16015625,186.403,65
1783477881.6188967,82,69,9480.16015625,183.596,68
1783477883.6211512,78,61,9480.16015625,189.629,68
1783477885.6266716,65,50,9480.16015625,178.327,68
1783477887.6390402,76,61,9480.16015625,167.933,66
1783477889.646497,61,50,9480.16015625,174.909,67
1783477891.6556637,68,58,9480.16015625,181.278,68
1783477893.6636648,61,52,9480.16015625,174.042,67
1783477895.675335,49,37,9480.16015625,177.426,64
1783477897.6851363,90,71,9480.16015625,188.152,68
1783477899.7215185,72,56,9480.16015625,161.44,67
1783477901.7521763,40,27,9480.16015625,161.106,66
1783477903.765522,74,63,9480.16015625,173.761,67
1783477905.7728393,87,70,9480.16015625,177.335,68
1783477907.7811842,72,63,9480.16015625,170.666,68
1783477909.787989,94,75,9480.16015625,185.445,69
1783477911.7945375,81,64,9480.16015625,188.254,68
1783477913.8402317,76,61,9480.16015625,176.293,66
1783477915.8443282,64,54,10440.16015625,163.304,68
1783477917.8503106,73,63,10440.16015625,177.993,68
1783477919.8577595,96,78,10440.16015625,188.382,68
1783477921.866723,78,61,10440.16015625,187.771,69
1783477923.8737872,63,52,10440.16015625,189.487,68
1783477925.8911703,66,57,10440.16015625,171.43,68
1783477927.8995497,64,51,10440.16015625,165.793,66
1783477929.9056222,72,54,10440.16015625,175.818,69
1783477931.9143252,96,78,10440.16015625,176.153,69
1783477933.9220293,89,71,10440.16015625,177.464,70
1783477935.9306655,66,56,10440.16015625,168.303,67
1783477937.9513159,96,78,10440.16015625,185.87,69
1783477939.9632506,61,48,10440.16015625,182.705,67
1783477942.0184069,67,51,10440.16015625,171.871,70
1783477944.045054,78,61,10440.16015625,188.013,65
1783477946.0537677,44,33,10440.16015625,184.788,67
1783477948.0597508,93,74,10440.16015625,187.963,68
1783477950.0659382,79,64,10440.16015625,183.597,70
1783477952.0744276,48,36,10440.16015625,189.33,68
1783477954.098128,59,45,10440.16015625,179.273,68
1783477956.107353,96,76,10440.16015625,175.286,68
1783477958.1168249,52,41,10440.16015625,170.48,69
1783477960.1218314,80,67,10440.16015625,183.63,70
1783477962.1296654,77,63,10440.16015625,176.861,69
1783477964.1339672,98,79,10440.16015625,185.032,67
1783477966.140278,85,69,10440.16015625,190.366,66
1783477968.1539896,62,53,10440.16015625,177.756,68
1783477970.1601427,80,63,10440.16015625,166.366,65
1783477972.1988814,84,71,10440.16015625,178.524,69
1783477974.2076025,78,61,10440.16015625,191.966,65
1783477976.2185316,32,25,10440.16015625,183.797,68
1783477978.2248645,70,59,10440.16015625,182.477,71
1783477980.2292058,59,46,6066.16015625,188.372,68
1783477982.2342281,43,32,3412.16015625,130.656,67
1783477984.2415087,56,45,4540.16015625,131.8,65
1783477986.2491813,51,38,5878.16015625,165.021,66
1783477988.2559175,54,43,6410.16015625,173.856,66
1783477990.2645314,93,85,7134.16015625,180.801,65
1783477992.2899678,78,69,7134.16015625,183.25,66
1783477994.3077805,53,46,7134.16015625,181.006,68
1783477996.37482,80,73,7134.16015625,140.293,65
1783477998.4154663,53,43,7134.16015625,168.702,69
1783478000.4218342,47,38,7134.16015625,176.429,69
1783478002.4228604,2,0,10988.16015625,63.471,61
1783478004.4262376,35,25,7830.16015625,129.489,66
1783478006.4339874,55,44,10000.16015625,188.178,68
1783478008.4381917,34,25,10000.16015625,175.162,63
1783478010.4592338,69,57,10000.16015625,163.351,65
1783478012.4696991,89,73,10000.16015625,177.85,68
1783478014.4910495,79,63,10000.16015625,187.627,65
1783478016.4954052,81,71,10000.16015625,172.907,69
1783478018.5003018,82,65,10000.16015625,191.75,65
1783478020.5066996,81,67,10000.16015625,187.442,69
1783478022.5498474,41,35,10000.16015625,170.169,68
1783478024.559425,37,30,10000.16015625,151.9,65
1783478026.5694377,45,35,10000.16015625,183.868,66
1783478028.5954566,80,63,10000.16015625,188.245,70
1783478030.6051712,80,68,10000.16015625,186.794,69
1783478032.6236002,78,64,10000.16015625,186.532,66
1783478034.6499135,41,31,10000.16015625,189.143,66
1783478036.9106848,25,21,10000.16015625,105.062,62
1783478039.1789842,77,62,10000.16015625,104.808,66
1783478041.1922753,74,62,10000.16015625,184.609,66
1783478043.21564,77,61,10000.16015625,180.296,65
1783478045.2251723,64,49,10000.16015625,188.196,68
1783478047.2283,57,48,10000.16015625,184.831,68
1783478049.240334,86,70,10000.16015625,187.893,69
1783478051.246655,80,63,10000.16015625,188.968,65
1783478053.2538357,53,42,10000.16015625,185.993,69
1783478055.290678,0,0,10000.16015625,150.342,65
1783478057.3431437,42,32,10000.16015625,180.507,67
1783478059.3542745,43,33,10000.16015625,185.144,66
1783478061.3620367,84,70,10000.16015625,185.335,68
